bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content	cviki_count	nlaiii_count
chr1	0	795846	795847	13	10	0	0.428455	11027	3269
chr1	795847	865427	69581	3	6	795847	0.524856	1671	314
chr1	865428	919082	53655	4	6	865428	0.642289	1841	222
chr1	919083	977835	58753	3	8	919083	0.604071	1862	256
chr1	977836	1033647	55812	1	16	977836	0.636781	2031	207
chr1	1033648	1091337	57690	0	4	1033648	0.579685	1681	255
chr1	1091338	1146782	55445	6	9	1091338	0.610587	2023	166
chr1	1146783	1200862	54080	4	12	1146783	0.62193	1934	199
chr1	1200863	1257392	56530	4	6	1200863	0.624589	1917	240
chr1	1257393	1312092	54700	5	10	1257393	0.630256	1849	263
chr1	1312093	1371963	59871	6	7	1312093	0.552588	1689	209
chr1	1371964	1455237	83274	3	10	1371964	0.573961	2499	369
chr1	1455238	1518265	63028	2	11	1455238	0.563527	1918	299
chr1	1518266	1594265	76000	5	10	1518266	0.579566	2357	271
chr1	1594266	1699328	105063	3	12	1594266	0.545663	2895	451
chr1	1699329	1758056	58728	1	2	1699329	0.482802	1319	314
chr1	1758057	1818991	60935	0	0	1758057	0.462083	1275	296
chr1	1818992	1876561	57570	2	6	1818992	0.584349	1837	327
chr1	1876562	1934727	58166	1	4	1876562	0.547175	1628	290
chr1	1934728	1989902	55175	2	9	1934728	0.580353	1789	225
chr1	1989903	2043906	54004	0	5	1989903	0.569865	1556	207
chr1	2043907	2101293	57387	0	5	2043907	0.54758	1446	243
chr1	2101294	2156892	55599	2	5	2101294	0.592115	1836	236
chr1	2156893	2211809	54917	1	1	2156893	0.571244	1631	232
chr1	2211810	2264921	53112	1	10	2211810	0.618429	1878	211
chr1	2264922	2319737	54816	1	4	2264922	0.562792	1655	257
chr1	2319738	2372174	52437	2	7	2319738	0.586494	1679	218
chr1	2372175	2422700	50526	1	6	2372175	0.643867	2076	212
chr1	2422701	2473327	50627	2	13	2422701	0.631699	1871	216
chr1	2473328	2530819	57492	5	3	2473328	0.603267	1929	260
chr1	2530820	2584409	53590	0	3	2530820	0.550569	1521	265
